Topic ,Chapter,Youtube link,Questions,Answers
Matter and its surroundings ,Unit I,"https://youtu.be/QQsybALJoew?si=AhyAnjmYcs_dj9g5, https://youtu.be/Q4JXWNJ6sZw?si=lXTM280lMrqNloYi, https://youtu.be/jmm1J2yI9tk?si=5iQZw0FN64mTAg4O, https://youtu.be/SYsflJxCbQg?si=gyelzl5IU8jmfBdD, https://youtu.be/5w07QrT1J_U?si=QZiMFlkG7bMLvPzm, https://youtu.be/Ld9tBUPmFGI?si=stJppYDhaMxZpj4y, https://youtu.be/WX4Delxf7RA?si=E5LRWzpcrdX11d8v, https://youtu.be/4ueTSxC4zr4?si=3GGpDEz9YvsMZaQQ",,
Particle nature and their basic units,Unit I,"https://youtu.be/jMW_0Ro6b5c?si=V3EgRa99pFlWmjEi, https://youtu.be/2S6e11NBwiw?si=GG4Ed5urDf13Fluu, https://youtu.be/GJ4Mds0CWLE?si=fSEdT7hMpcIytAuq, https://youtu.be/4jISjQvdyhs?si=rhZqp47TT8ZH-rK_, https://youtu.be/c_zHROisdP4?si=GQcQtHtssky6LLW3, https://youtu.be/7fYpEnxhKQk?si=ksvrUlSvcxSdYjOd",,
Structure of atoms,Unit I,"https://youtu.be/cpBb2bgFO6I?si=3nZTxCYdmxKADSYK, https://youtu.be/vcAVTx2UihY?si=0QtYqWtc8rVeevBE, https://youtu.be/lVSF2lP4oBA?si=UMLRwcEj2BnN_2Ye, https://youtu.be/wdP1gFYRxv4?si=1ZCL-lQoK_H_BOmD, https://youtu.be/_S7ov25y3_M?si=zZ6kqjDQbFMzF0QJ, https://youtu.be/qgJW1g0nCxQ?si=azGot6gjyiIFeWKn, https://youtu.be/qgJW1g0nCxQ?si=v7BnzHDzR0LcEdtk",,
Nature of matter,Unit I,"https://youtu.be/zRiEecfWuSQ?si=KARsnyUYjmGvO8Hj, https://youtu.be/kWa_zTldnhw?si=uRVsPAksFsmr3MoQ, https://youtu.be/2iA0rUGEYkQ?si=3rV0RfsAL2CyTFrR, https://youtu.be/jCVQwr_TWpY?si=jx7eyxdY8AIo8Sdn, https://youtu.be/qv6raLasc_M?si=GCMr8N7HcCMJD7vH, https://youtu.be/dW1Vn6cbTRE?si=ZapgX_aDVWG4izr9, https://youtu.be/jCVQwr_TWpY?si=ehev_umMuuPibznQ, https://youtu.be/XEAiLm2zuvc?si=fA7SC0R4hRbpk-IG, https://youtu.be/BgM3e8YZxuc?si=4vczNnxJMsJNX4RW, https://youtu.be/0TlLNTt16FA?si=dEtiLF4KvqAcVkhO, https://youtu.be/Lvbm8horG1U?si=b5LWf2WM60j9O9Z7",,
Cell - Basic Unit of life,Unit II,"https://youtu.be/J-easrO9h38 , https://www.youtube.com/watch?v=8vo59AKzU4Q , https://www.youtube.com/watch?v=rKS-vvhMV6E , https://www.youtube.com/watch?v=_7pPlTTl-FQ&list=PL2o1CY8vj8s1HfRprO7p2dSTw5E3nBBMX , https://www.youtube.com/watch?v=RfSYs5fhkLk&list=PL2o1CY8vj8s1HfRprO7p2dSTw5E3nBBMX&index=2&pp=iAQB",,
Tissues Part 1 (Introduction),Unit II,"https://www.youtube.com/watch?v=i5tR3csCWYo , https://www.youtube.com/watch?v=lUe_RI_m-Vg ",,
Tissues Part 2 (Plan Tissues),Unit II,"https://www.youtube.com/watch?v=ZxpB14mfjKQ&list=PL2o1CY8vj8s1HfRprO7p2dSTw5E3nBBMX&index=3&pp=iAQB  , https://www.youtube.com/watch?v=oVny7tuqiyM&list=PL2o1CY8vj8s1HfRprO7p2dSTw5E3nBBMX&index=5&pp=iAQB",,
Tissues Part 3  (Animal Tisues),Unit II,"https://www.youtube.com/watch?v=T-pSKjwKqj8 , https://www.youtube.com/watch?v=BCRzy82p4s0&list=PL2o1CY8vj8s1HfRprO7p2dSTw5E3nBBMX&index=6&pp=iAQB",,
Tissues Part 4 (Xylem & Phloem),Unit II,https://www.youtube.com/watch?v=d3vUNYzbeNc&list=PL2o1CY8vj8s1HfRprO7p2dSTw5E3nBBMX&index=11&pp=iAQB,,
"Tissues - Pratical 1(Parenchema Tissue,Sclerenchema ...)",Unit II,https://www.youtube.com/watch?v=jqqg8M3JF_U&list=PL2o1CY8vj8s1HfRprO7p2dSTw5E3nBBMX&index=7&pp=iAQB,,
